Title,Price,Address,Beds
"222 Columbus N Dr Unit 2105, Chicago, IL","$2,600","222 Columbus N Dr Unit 2105, Chicago, IL",Condo for Rent
"2631 W Luther St Unit 1, Chicago, IL","$1,495","2631 W Luther St Unit 1, Chicago, IL",1 Bed
"30 Huron E St Unit 5510, Chicago, IL","$2,000","30 Huron E St Unit 5510, Chicago, IL",Condo for Rent
"2704 W 24th Pl Unit 1F, Chicago, IL","$1,450","2704 W 24th Pl Unit 1F, Chicago, IL",2 Bed
"2704 W 24th Pl Unit 1, Chicago, IL","$1,200","2704 W 24th Pl Unit 1, Chicago, IL",2 Bed
"1611 W Division St Unit 1, Chicago, IL","$2,695","1611 W Division St Unit 1, Chicago, IL",2 Bed
"757 Wabash N Ave Unit 2-2, Chicago, IL","$3,475","757 Wabash N Ave Unit 2-2, Chicago, IL",2 Bed
"211 E Ohio St Unit 1007, Chicago, IL","$1,800","211 E Ohio St Unit 1007, Chicago, IL",Condo for Rent
"211 E Ohio St Unit 2612, Chicago, IL","$1,800","211 E Ohio St Unit 2612, Chicago, IL",Studio
"211 E Ohio St Unit 819, Chicago, IL","$2,000","211 E Ohio St Unit 819, Chicago, IL",Condo for Rent
"211 Ohio E St Unit 1109, Chicago, IL","$1,850","211 Ohio E St Unit 1109, Chicago, IL",Condo for Rent
"313 Albany S Ave Unit 2, Chicago, IL","$1,225","313 Albany S Ave Unit 2, Chicago, IL",2 Bed
"313 Albany S Ave Unit 1, Chicago, IL","$1,175","313 Albany S Ave Unit 1, Chicago, IL",2 Bed
"420 Waterside E Dr Unit 304, Chicago, IL","$1,700","420 Waterside E Dr Unit 304, Chicago, IL",Condo for Rent
"195 N Harbor Dr Unit 2001, Chicago, IL","$2,900","195 N Harbor Dr Unit 2001, Chicago, IL",Condo for Rent
"401 E Ontario St Unit 1606, Chicago, IL","$2,050","401 E Ontario St Unit 1606, Chicago, IL",1 Bed
"1368 W Evergreen Ave Unit 4M, Chicago, IL","$2,250","1368 W Evergreen Ave Unit 4M, Chicago, IL",2 Bed
"441 Ohio E St Unit 1, Chicago, IL","$1,676","441 Ohio E St Unit 1, Chicago, IL",1 Bed
